DIA,HORA,MES_REFERENCIA,PERIODO_COMERCIALIZACAO,PLD_HORA,SUBMERCADO,_dataset,_id,_resource_id
8,4,202602,173,453.96,NORDESTE,pld_horario,209,3f279d6b-1069-42f7-9b0a-217b084729c4
8,4,202602,173,453.95,NORTE,pld_horario,210,3f279d6b-1069-42f7-9b0a-217b084729c4
8,4,202602,173,453.95,SUDESTE,pld_horario,211,3f279d6b-1069-42f7-9b0a-217b084729c4
8,4,202602,173,453.94,SUL,pld_horario,212,3f279d6b-1069-42f7-9b0a-217b084729c4
8,5,202602,174,453.92,NORDESTE,pld_horario,213,3f279d6b-1069-42f7-9b0a-217b084729c4
8,5,202602,174,453.92,NORTE,pld_horario,214,3f279d6b-1069-42f7-9b0a-217b084729c4
8,5,202602,174,453.92,SUDESTE,pld_horario,215,3f279d6b-1069-42f7-9b0a-217b084729c4
8,5,202602,174,453.91,SUL,pld_horario,216,3f279d6b-1069-42f7-9b0a-217b084729c4
8,6,202602,175,442.95,NORDESTE,pld_horario,217,3f279d6b-1069-42f7-9b0a-217b084729c4
8,6,202602,175,442.94,NORTE,pld_horario,218,3f279d6b-1069-42f7-9b0a-217b084729c4
8,6,202602,175,442.94,SUDESTE,pld_horario,219,3f279d6b-1069-42f7-9b0a-217b084729c4
8,6,202602,175,442.93,SUL,pld_horario,220,3f279d6b-1069-42f7-9b0a-217b084729c4
8,7,202602,176,426.75,NORDESTE,pld_horario,221,3f279d6b-1069-42f7-9b0a-217b084729c4
8,7,202602,176,426.76,NORTE,pld_horario,222,3f279d6b-1069-42f7-9b0a-217b084729c4
8,7,202602,176,426.76,SUDESTE,pld_horario,223,3f279d6b-1069-42f7-9b0a-217b084729c4
8,7,202602,176,426.76,SUL,pld_horario,224,3f279d6b-1069-42f7-9b0a-217b084729c4
8,8,202602,177,284.72,NORDESTE,pld_horario,225,3f279d6b-1069-42f7-9b0a-217b084729c4
8,8,202602,177,284.73,NORTE,pld_horario,226,3f279d6b-1069-42f7-9b0a-217b084729c4
8,8,202602,177,284.72,SUDESTE,pld_horario,227,3f279d6b-1069-42f7-9b0a-217b084729c4
8,8,202602,177,284.73,SUL,pld_horario,228,3f279d6b-1069-42f7-9b0a-217b084729c4
8,9,202602,178,57.31,NORDESTE,pld_horario,229,3f279d6b-1069-42f7-9b0a-217b084729c4
8,9,202602,178,57.31,NORTE,pld_horario,230,3f279d6b-1069-42f7-9b0a-217b084729c4
8,9,202602,178,57.31,SUDESTE,pld_horario,231,3f279d6b-1069-42f7-9b0a-217b084729c4
8,9,202602,178,57.31,SUL,pld_horario,232,3f279d6b-1069-42f7-9b0a-217b084729c4
8,10,202602,179,57.31,NORDESTE,pld_horario,233,3f279d6b-1069-42f7-9b0a-217b084729c4
8,10,202602,179,57.31,NORTE,pld_horario,234,3f279d6b-1069-42f7-9b0a-217b084729c4
8,10,202602,179,57.31,SUDESTE,pld_horario,235,3f279d6b-1069-42f7-9b0a-217b084729c4
8,10,202602,179,57.31,SUL,pld_horario,236,3f279d6b-1069-42f7-9b0a-217b084729c4
8,11,202602,180,57.31,NORDESTE,pld_horario,237,3f279d6b-1069-42f7-9b0a-217b084729c4
8,11,202602,180,57.31,NORTE,pld_horario,238,3f279d6b-1069-42f7-9b0a-217b084729c4
8,11,202602,180,57.31,SUDESTE,pld_horario,239,3f279d6b-1069-42f7-9b0a-217b084729c4
8,11,202602,180,57.31,SUL,pld_horario,240,3f279d6b-1069-42f7-9b0a-217b084729c4
8,12,202602,181,57.31,NORDESTE,pld_horario,241,3f279d6b-1069-42f7-9b0a-217b084729c4
8,12,202602,181,57.31,NORTE,pld_horario,242,3f279d6b-1069-42f7-9b0a-217b084729c4
8,12,202602,181,57.31,SUDESTE,pld_horario,243,3f279d6b-1069-42f7-9b0a-217b084729c4
8,12,202602,181,57.31,SUL,pld_horario,244,3f279d6b-1069-42f7-9b0a-217b084729c4
8,13,202602,182,57.31,NORDESTE,pld_horario,245,3f279d6b-1069-42f7-9b0a-217b084729c4
8,13,202602,182,57.31,NORTE,pld_horario,246,3f279d6b-1069-42f7-9b0a-217b084729c4
8,13,202602,182,57.31,SUDESTE,pld_horario,247,3f279d6b-1069-42f7-9b0a-217b084729c4
8,13,202602,182,57.31,SUL,pld_horario,248,3f279d6b-1069-42f7-9b0a-217b084729c4
8,14,202602,183,257.43,NORDESTE,pld_horario,249,3f279d6b-1069-42f7-9b0a-217b084729c4
8,14,202602,183,257.44,NORTE,pld_horario,250,3f279d6b-1069-42f7-9b0a-217b084729c4
8,14,202602,183,257.43,SUDESTE,pld_horario,251,3f279d6b-1069-42f7-9b0a-217b084729c4
8,14,202602,183,257.44,SUL,pld_horario,252,3f279d6b-1069-42f7-9b0a-217b084729c4
8,15,202602,184,388.14,NORDESTE,pld_horario,253,3f279d6b-1069-42f7-9b0a-217b084729c4
8,15,202602,184,388.14,NORTE,pld_horario,254,3f279d6b-1069-42f7-9b0a-217b084729c4
8,15,202602,184,388.14,SUDESTE,pld_horario,255,3f279d6b-1069-42f7-9b0a-217b084729c4
8,15,202602,184,388.15,SUL,pld_horario,256,3f279d6b-1069-42f7-9b0a-217b084729c4
8,16,202602,185,435.41,NORDESTE,pld_horario,257,3f279d6b-1069-42f7-9b0a-217b084729c4
