nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual;ear_total_mwmes;ear_maxima_total_mwmes;val_contribearbacia;val_contribearmaxbacia;val_contribearsubsistema;val_contribearmaxsubsistema;val_contribearsubsistemajusante;val_contribearmaxsubsistemajusante;val_contribearsin;val_contribearmaxsin
TUCURUI;275.0;Reservatório com Usina;TOCANTINS;NORTE;N;NORTE;;;2026-01-01;1989.87;;7721.097;;25.7719;1989.87;7721.097;0.07438024;0.15479156;0.23751375;0.50456785;0.0;0.0;0.01495008;0.02643594
A. VERMELHA;18.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-02;1213.95;;4340.282;;27.9694;1213.95;4340.282;0.07026428;0.0842259;0.01406428;0.02121191;0.0;0.0;0.00910917;0.01486051
ANTA;128.0;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-02;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B. BONITA;37.0;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-02;1723.883;;2713.786;;63.5232;1723.883;2713.786;0.2627395;0.27904549;0.01997213;0.01326287;0.0;0.0;0.01293557;0.00929162
BALBINA;277.0;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;;;2026-01-02;390.601;;785.737;;49.7114;390.601;785.737;0.69290387;0.38740015;0.04662299;0.05134732;0.0;0.0;0.00293097;0.00269025
BARRA GRANDE;86.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-02;2167.291;;2991.427;;72.4501;2167.291;2991.427;0.42063808;0.44447414;0.14656725;0.14621397;0.0;0.0;0.01626279;0.01024222
BATALHA;20.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-02;974.209;;2751.514;;35.4063;974.209;2751.514;0.03542676;0.03505071;0.01128675;0.01344725;0.0;0.0;0.00731021;0.00942079
BILLINGS;118.0;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2026-01-02;1648.608;;2444.556;;67.44;1648.608;2444.556;0.25126673;0.25136187;0.01910003;0.01194708;0.0;0.0;0.01237073;0.00836981
BLANG;;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-02;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BOA ESPERANÇA;190.0;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;;;2026-01-02;104.736;;264.178;;39.646;104.736;264.178;1.0;1.0;0.00440297;0.00511069;0.0;0.0;0.00078591;0.00090451
C.BRANCO-1;27.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-02;8.551;;20.753;;41.2037;8.551;20.753;0.00031095;0.00026437;9.907e-05;0.00010142;0.0;0.0;6.416e-05;7.106e-05
CACONDE;14.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-02;311.929;;853.4;;36.5513;311.929;853.4;0.01805467;0.01656076;0.00361387;0.00417075;0.0;0.0;0.00234063;0.00292192
CACU;311.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-02;26.128;;30.877;;84.6196;26.128;30.877;0.00095014;0.00039333;0.00030271;0.0001509;0.0;0.0;0.00019606;0.00010572
CAMARGOS;1.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-02;759.1;;1568.489;;48.3969;759.1;1568.489;0.04393724;0.03043752;0.00879459;0.00766555;0.0;0.0;0.00569609;0.00537028
CAMPOS NOVOS;90.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-02;182.183;;227.826;;79.9659;182.183;227.826;0.03535894;0.03385099;0.01232048;0.0111356;0.0;0.0;0.00136705;0.00078004
CAPIVARA;61.0;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2026-01-02;3562.76;;3889.672;;91.5954;3562.76;3889.672;0.43387513;0.32160692;0.04127654;0.01900968;0.0;0.0;0.02673403;0.01331768
CHAVANTES;49.0;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2026-01-02;1837.49;;3370.499;;54.5169;1837.49;3370.499;0.22377068;0.27868052;0.02128833;0.01647237;0.0;0.0;0.01378805;0.01154011
CORUMBA;30.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-02;680.03;;1531.054;;44.4158;680.03;1531.054;0.02472905;0.01950364;0.00787852;0.0074826;0.0;0.0;0.00510277;0.00524211
CORUMBA-3;203.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-02;125.426;;425.126;;29.5033;125.426;425.126;0.00456107;0.00541555;0.00145313;0.00207768;0.0;0.0;0.00094116;0.00145557
CORUMBA-4;29.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-02;459.944;;1415.959;;32.4829;459.944;1415.959;0.0167257;0.01803748;0.0053287;0.0069201;0.0;0.0;0.0034513;0.00484804
CURUA-UNA;272.0;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;;;2026-01-02;5.146;;28.109;;18.3073;5.146;28.109;0.00912871;0.01385888;0.00061424;0.0018369;0.0;0.0;3.861e-05;9.624e-05
DIVISA;;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-02;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EDGARD SOUZA;107.0;Reservatório sem usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-02;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EMBORCAÇÃO;24.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-02;8948.094;;21873.496;;40.9084;8948.094;21873.496;0.32539426;0.2786399;0.1036686;0.10690057;0.0;0.0;0.06714419;0.07489174
ERNESTINA;110.0;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-02;216.017;;200.552;;107.7112;216.017;200.552;0.09328967;0.06620289;0.01460857;0.00980251;0.0;0.0;0.00162094;0.00068666
